ID_REF	2621	2622	2691	2692	3391	3392	2791	2792	3161	3162	3211	3212	3431	3432	3441	3442	3311	3312	3341	3342	3411	3412	3461	3462	3471	3472	3501	3502	3451	3452
cg10447977	0.68786	0.69504	0.67614	0.70843	0.72	0.79547	0.71663	NA	0.7031	0.76133	0.74186	0.70074	0.68769	0.74023	0.71727	0.66991	NA	0.71117	0.72895	0.75145	0.71186	0.72985	0.68735	0.70555	0.72111	0.73967	0.66549	NA	0.71264	0.71746
cg04258329	0.79297	0.82777	0.84604	0.81957	0.82705	0.79939	0.8053	0.83974	0.80992	0.86264	0.81129	0.81476	0.84315	0.85825	0.83794	0.79675	0.8273	0.82092	0.85479	0.85166	0.82919	0.83215	0.83798	0.87059	0.84111	0.85298	0.85689	0.85482	NA	0.84863
cg15002700	NA	0.91465	0.88504	0.84797	0.86548	0.85854	0.88137	0.87737	0.90275	0.89623	0.90197	0.90829	0.91417	0.88769	0.85658	0.89647	0.90526	0.87628	0.89148	0.89239	0.90436	0.89952	0.90652	0.89636	0.86764	0.89275	0.91249	0.86846	0.91603	0.88625
cg14970695	0.11836	0.10905	0.06193	0.04878	0.10632	0.04961	0.12587	NA	0.05244	0.07776	0.13462	0.05435	NA	0.09755	0.07313	0.07318	0.10776	0.09843	0.10756	0.13122	0.13402	0.12324	0.06459	0.06624	NA	0.08575	0.08338	NA	0.09931	0.09573
cg13464062	0.08672	0.12549	0.09171	0.10556	0.1046	0.1188	0.12019	0.09229	0.12618	0.08307	NA	0.1026	0.10292	0.08401	0.0938	0.12012	0.11121	0.09622	0.09511	0.11569	NA	0.10806	0.10065	0.08761	0.11108	0.10603	0.08625	0.09963	0.10028	0.10808
cg19743781	0.80042	0.78045	0.7233	0.71815	0.81379	0.77924	0.77033	0.79034	0.80447	0.77781	0.79433	0.79882	NA	0.86707	0.78114	0.82385	0.77371	NA	NA	NA	0.74102	0.73564	0.79974	0.77301	0.789	0.80236	0.83875	0.80122	0.81762	NA
cg00866814	0.13298	0.16127	NA	0.14733	0.12853	0.161	0.16083	0.10468	0.13797	0.12278	0.15341	0.13707	0.12075	0.12227	0.13579	0.13611	NA	0.14095	0.12619	0.13622	0.15805	0.16149	NA	0.12422	0.13502	0.13645	NA	0.12318	0.13816	0.11923
cg01881378	0.88133	0.86575	0.84816	NA	0.85977	0.8423	0.81895	0.79384	0.84159	0.89004	0.86762	0.83515	0.82589	0.86101	0.87265	0.85965	0.85993	0.86361	0.8815	0.87323	0.84186	NA	0.8817	0.86292	0.86656	0.87404	0.8797	0.85865	0.84968	0.84839
cg02454264	0.07122	0.03821	0.05007	0.03133	0.05296	0.04461	0.04341	0.04138	0.04993	0.0518	0.04247	0.04121	0.06263	0.04819	0.03609	NA	0.04667	0.04322	0.0445	0.04196	0.04842	0.04773	0.04184	0.05117	0.04176	0.04763	0.05574	0.04397	0.03908	0.04757
cg04459413	0.11295	0.12169	0.11756	0.13991	0.09963	0.09057	0.08186	NA	0.16342	0.10544	0.12874	0.11233	0.12497	0.09344	0.11281	NA	0.11281	0.12896	0.08425	0.16396	0.1444	0.08223	0.11826	0.07433	0.09213	0.09354	0.08361	0.09239	0.07403	0.07973
cg27351619	0.94085	NA	0.94895	0.95541	0.95902	0.95017	0.95297	0.95723	0.9435	0.95736	0.94472	0.95924	NA	0.96165	0.93879	0.95923	0.95277	0.95816	0.95269	0.94436	NA	0.96235	0.96323	0.94322	0.95037	0.96133	0.94452	0.96416	0.96207	0.95716
cg14167389	NA	0.25384	0.18716	0.17874	0.21249	0.18237	0.25772	0.23211	0.25707	0.21041	0.22117	0.21655	0.23401	0.20473	0.18966	0.17206	0.24166	0.25156	0.2643	0.14447	0.20452	0.23589	0.29066	0.22075	0.15505	0.17691	0.162	0.24869	0.17274	0.17644
cg20389847	0.72758	0.77699	0.77389	NA	0.81686	0.7925	0.81423	0.79203	0.77399	0.72289	0.77775	0.78621	0.81066	NA	0.78197	0.80047	0.81472	0.79382	0.77185	0.7987	0.8388	0.74964	0.78418	0.7728	0.78617	0.78717	0.74557	0.81598	0.8489	0.82778
cg00907218	0.86015	0.84019	0.79862	0.85871	0.83868	0.89184	0.83267	NA	0.77036	0.8496	0.82424	0.82684	0.86657	0.91508	0.91655	0.85798	0.84953	0.85475	0.90701	0.87157	0.84623	0.82381	0.83228	0.86231	0.80531	0.83723	0.83668	0.80426	0.86831	0.87762
cg19871235	0.55454	0.59977	0.66504	0.67625	0.65654	0.76109	0.56163	0.60475	0.61447	0.66958	0.67301	0.6302	0.65199	0.55064	0.66344	0.58405	0.55719	0.56908	0.53516	0.58434	0.65016	NA	0.60665	0.65303	0.65602	0.724	NA	0.45229	0.69936	NA
cg26975848	0.37721	0.40035	0.4101	0.42844	0.47712	0.52357	0.48455	0.44904	0.32285	0.47973	0.4087	0.44674	0.48769	0.49847	0.34453	0.41914	0.49376	0.40927	NA	0.40667	NA	0.40743	0.38973	0.4484	0.43136	0.42848	0.41781	0.44672	0.46049	NA
cg06043227	0.83558	0.87661	0.87604	0.82082	0.84463	NA	0.90734	0.86562	NA	0.83773	0.8872	0.81733	NA	0.85659	NA	NA	0.87404	NA	0.83845	0.85519	0.85128	0.84251	0.84695	0.87989	0.87059	0.87931	NA	0.86535	0.86236	NA
cg13868001	NA	0.57022	NA	0.58584	0.58609	0.62937	0.48957	0.55427	0.46878	0.46525	0.6118	0.56585	0.48683	0.54485	NA	0.55848	0.51787	NA	0.49104	0.56804	0.47984	0.493	0.57977	0.61513	NA	0.57565	0.35714	NA	0.5115	0.47872
cg02139050	0.7303	0.66537	0.77954	0.76118	0.79804	0.77906	0.80142	0.78322	NA	0.7608	0.76916	NA	0.74701	0.77323	0.77301	0.79371	0.75654	0.7751	NA	NA	0.77801	0.7827	0.74349	0.80177	0.78231	0.81321	0.80223	0.77557	0.78971	0.82651
cg15092772	0.70841	0.76626	0.71579	0.74772	0.72678	0.74353	0.73209	0.74953	0.76098	0.69006	0.74994	0.75485	0.77687	0.7653	0.77971	0.76255	0.80054	NA	0.80182	0.76692	0.77856	0.76602	0.74754	0.81005	0.76662	0.77317	0.80483	0.74223	0.78318	0.77665
cg01272058	0.1012	0.13331	0.11976	0.09667	0.11739	NA	0.09741	0.1012	0.11576	0.12357	0.13689	0.12912	0.12771	0.1141	0.12014	0.08394	0.13385	0.0983	0.11053	0.12269	0.10317	0.10893	0.122	0.10845	0.1397	0.12158	0.11122	0.12484	0.11404	0.12127
cg04798497	0.03322	NA	0.03294	0.02985	0.03038	0.0347	NA	0.02292	0.04109	0.03667	0.03962	0.0344	0.0371	0.03935	0.04453	0.03714	NA	0.04254	0.04504	NA	0.03778	0.03214	0.03995	0.04832	NA	0.03797	NA	0.03235	0.0446	0.04405
cg01998682	NA	NA	0.0319	0.03722	0.03369	0.02695	NA	0.03142	0.0428	0.04018	NA	0.03909	0.03962	0.0358	0.03761	NA	0.05104	0.04408	0.0518	0.04002	0.03986	0.04476	0.05102	0.04716	0.0484	0.05072	0.04877	NA	0.0449	NA
cg06856528	0.07374	0.1161	NA	0.10037	0.07558	0.10014	0.09032	0.08709	0.0889	0.06521	0.07909	0.08903	0.08267	0.06562	0.077	0.08072	0.08456	0.06972	NA	0.0789	0.08534	0.09024	0.08712	0.07221	0.09014	0.07384	0.07842	0.09296	0.08169	0.09434
cg14638662	0.49043	0.47688	NA	0.51459	0.47062	0.50192	0.44686	0.43513	0.40754	0.38907	0.4828	0.46515	0.44538	0.43814	0.4461	0.44317	0.43242	0.4159	0.42753	0.46103	0.45668	0.42519	0.41028	0.41907	0.46409	0.44814	NA	0.41542	0.42285	0.44073
cg05428268	0.2071	0.15905	0.22046	0.17408	0.17673	0.22926	0.18526	0.18181	NA	0.22524	0.2073	NA	0.20625	0.19589	0.19824	0.18453	0.21321	0.23454	0.2052	0.17799	0.18699	0.19229	0.17609	0.19375	0.2006	0.16637	0.16481	0.20431	0.24627	0.18599
cg08318283	0.24274	0.28079	0.19024	0.25181	0.2723	0.26824	0.25846	0.19615	0.28887	0.26676	0.25601	0.31701	0.2549	0.31746	0.28365	0.26853	0.27305	0.23835	0.24731	0.25193	0.24455	0.2394	0.24322	0.28741	NA	0.27815	0.2494	0.28433	0.28977	0.27671
cg03921753	0.11009	0.08984	0.0788	0.08215	0.08045	0.0813	0.09035	0.08901	0.08788	0.1007	0.06587	0.08029	0.1015	0.08443	0.06998	NA	NA	0.08326	0.09624	0.07572	NA	0.07637	0.10243	0.08052	0.07632	0.07326	0.08374	0.09003	0.07231	0.08252
cg10047041	0.57673	0.70038	0.73427	0.75426	0.70776	0.70153	0.69752	NA	0.72309	0.68667	0.73527	0.70016	0.68212	0.72743	0.69347	0.75232	0.8109	0.70523	0.68931	0.76356	0.66492	0.67111	0.66672	0.74046	0.76175	0.69666	0.7573	0.71817	0.69355	0.78183
cg01302649	0.14119	0.1929	NA	0.1489	0.13961	0.23108	0.17757	0.1489	0.15756	0.18142	0.1659	0.18916	0.09715	0.14893	0.17368	0.16121	0.17842	NA	NA	0.18047	0.13421	0.13824	0.15296	0.1531	0.21488	0.14147	0.11486	NA	NA	0.11881
cg21521250	0.06387	0.06143	NA	0.04056	0.1064	0.06124	0.06453	NA	0.06337	0.06109	0.05412	0.05839	0.05284	0.05658	0.05305	0.04928	0.05137	NA	0.05842	0.06419	0.04655	0.04982	0.06358	0.05692	0.05367	0.05663	0.04747	0.05687	0.05472	NA
cg08265500	0.1112	0.11936	0.09869	0.12088	0.10218	0.10414	0.09272	0.10326	0.08051	0.08504	0.1053	0.10464	0.10721	0.09805	0.11	0.08932	0.10482	0.09131	NA	0.14082	NA	0.09483	0.10932	0.11463	0.11858	0.13231	0.09244	NA	0.09793	0.10502
cg17960703	0.02213	0.01651	0.02275	0.03069	0.02077	0.02837	0.02217	0.02781	0.02096	0.02702	0.02521	NA	0.02443	0.02252	0.02625	0.02827	0.02529	NA	0.01402	0.03354	0.02848	0.03358	0.02553	0.02534	NA	0.02555	0.0249	0.0333	0.0189	0.0237
cg14758072	0.41778	0.39842	NA	0.43166	0.43327	0.40664	0.46871	0.39652	0.44147	0.37595	0.41981	0.39824	0.51216	0.40553	0.3649	0.40533	0.39137	NA	NA	0.49375	0.40888	0.36718	0.43401	NA	0.4415	0.38199	NA	0.46243	0.41613	NA
cg04516083	0.06369	0.04998	0.05425	0.05262	0.05562	NA	0.04237	0.0464	0.0412	0.04784	NA	0.052	0.03994	0.0621	0.05942	0.02874	0.04391	0.04083	0.0566	0.04892	NA	0.04897	NA	0.04235	0.05285	0.0407	0.05068	0.04775	0.06404	0.05112
cg10178308	0.19516	NA	0.06558	0.23077	0.19617	0.37349	NA	NA	0.27331	0.19731	0.19625	0.1803	0.19694	0.18542	0.18063	0.27382	0.1897	0.25117	0.17943	0.18756	0.27704	0.27434	0.1627	0.20433	0.23688	0.12084	0.2358	0.33333	NA	0.23726
cg23704362	0.79515	NA	0.83535	0.82933	NA	0.78001	NA	NA	0.85228	0.85168	0.84516	0.83819	0.80126	0.84977	0.8596	0.81708	0.83774	0.8342	0.834	0.83028	0.84096	0.83597	0.82647	0.8561	0.86486	0.8427	0.83973	0.82462	0.85214	0.83502
cg01102013	0.04368	0.05481	0.05945	NA	0.05201	0.0646	NA	0.06602	0.0617	0.04576	0.05727	0.06772	0.05172	0.05278	0.06957	0.04442	0.07699	NA	NA	0.07426	0.07146	0.08839	0.09097	0.08136	0.07123	0.08058	0.05941	0.05746	0.06878	NA
